Variation ID,Young Modulus [Mpa],Yield Strength [Mpa],Elongation at Yield,UTS [Mpa],Elongation at break,% Water ,% Agar ,%Gly ,Water [ml],Glycerin [ml],Agar [gr],L,A,B,C,EM,E,Area,Inicial weight (Mixture + tray) [gr],Sample tray [gr],T� fabrication [�C],Mixture [ml]
1,0.2186,0.432177436,2.5,2.4384,32.51884,98.9,0.5,0.6,800,5,4,50,8.82,11.5,3.5,31.586,0.1432,0.5012,340.2,139,92,200
2,0.57134,1.058822096,2.72,4.69564,30.70598,99.2,0.5,0.3,800,2.5,4,50,8.82,11.5,3.5,31.44,0.1156,0.4046,328.3,139.5,94,200
3,0.14984,0.261168531,1.94,1.32898,34.34348,98.3,0.5,1.3,600,7.5,3,50,8.82,11.5,3.5,31.7,0.1528,0.59354,284.4,139,95.5,200
4,1.2009,1.923173049,2.3,7.6739,23.42465,99.5,0.3,0.2,1200,2.5,4,50,8.82,11.5,3.5,31.72333333,0.0465,0.16275,287.5,138.5,99,200
5,0.111683333,0.441865151,5.066666667,2.059066667,28.96961667,99,0.3,0.6,1200,7.5,4,50,8.82,11.5,3.5,31.45333333,0.078166667,0.273583333,285.8,138.5,97,200
6,0.069,0.155736971,2.7,0.333133333,27.74193333,97.8,0.3,1.9,600,11.25,2,50,8.82,11.5,3.5,28.15666667,0.282,1.09907,282.52,139,96,200
7,13.23833333,21.3728632,2.275,39.10618333,14.68485,98.7,1,0.3,1200,2.5,12,50,8.82,11.5,3.5,32.99166667,0.099666667,0.348833333,287.5,138.5,96,200
8,1.140666667,1.279185078,1.625,8.301966667,35.36048333,98.4,1,0.6,800,5,8,50,8.82,11.5,3.5,31.5,0.160333333,0.561166667,333.6,139,92,200
9,1.286666667,1.429949782,1.633333333,7.786066667,33.52693333,98.4,1,0.6,400,2.5,4,50,8.82,11.5,3.5,31.72833333,0.157833333,0.552416667,334.8,139.1,92.33333333,200
10,1.676,1.659703772,1.23,10.47618,29.3956,98.4,1,0.6,1200,7.5,12,50,8.82,11.5,3.5,33.042,0.1162,0.4067,281,138.5,95,200
11,6.563333333,8.03046394,1.941666667,22.68931667,21.29081667,98.7,1,0.3,800,2.5,8,50,8.82,11.5,3.5,31.13666667,0.130333333,0.456166667,331.3,138.4,90,200
12,0.286666667,0.605386817,3.008333333,3.105,34.7352,97.9,1,1.1,400,5,4,50,8.82,11.5,3.5,31.76833333,0.255166667,0.893083333,327.2,138.1,92,200
13,0.058625,0.99790926,3.6375,1.0988,38.29545,97.1,1,1.9,600,11.25,6,50,8.82,11.5,3.5,29.3825,0.394,1.497275,284.57,139,95.7,200
14,0.07775,0.164276807,2.4375,0.7713,27.173425,96.3,1,2.7,600,16.05,6,50,8.82,11.5,3.5,31.1025,0.40125,1.54133,283.48,139,96,200
15,0.025,0.076794672,3.45,0.1059,28.6601,88.3,1,10.7,600,64.2,6,50,8.82,11.5,3.5,27.74,0.699,2.761,287.39,139,95.9,200
16,0.0694,0.456173549,1.35,0.68342,29.17288,97.8,2,0.2,600,1.248,12,50,8.82,11.5,3.5,30.86,0.4664,1.80004,284.95,139,95.7,200
17,4.594,6.491337331,1.75,8.4826,3.91666,97.7,2,0.3,600,1.878,12,50,8.82,11.5,3.5,30.522,0.498,1.91986,276.78,139,95.3,200
18,7.306666667,8.840954778,1.516666667,26.7954,26.08971667,97.4,2,0.6,400,2.5,8,50,8.82,11.5,3.5,31.105,0.2465,0.86275,330.3,137.9,90,200
